SourceType,SourceDesc,SourceProvider,DataProcessingType,SiteName,SearchTypeDesc,SourcePrimaryKey,StartDate,FinishDate,StartTime,FinishTime,DurationInMinutes,AreaInM2,LengthInKm,LocationName,ManagementCategory,Y,X,ProjectionReference,PositionalAccuracyInM,SurveyComments,SpNo,TaxonID,ScientificName,Breeding,Count,UnitOfMeasurement,UnitType,SightingComments
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_1,00/00/1986,00/00/1986,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,30164,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_2,00/00/1989,00/00/1989,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,54936,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_3,00/00/1991,00/00/1991,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,41843,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_4,00/00/1993,00/00/1993,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,35010,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_5,00/00/1995,00/00/1995,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,19780,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_6,00/00/1996,00/00/1996,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,39665,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_7,00/00/1997,00/00/1997,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,42605,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_8,00/00/1999,00/00/1999,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,40810,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_9,00/00/2000,00/00/2000,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,41457,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_10,00/00/2006,00/00/2006,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,39052,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_11,00/00/2007,00/00/2007,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,31608,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_12,00/00/2008,00/00/2008,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,44775,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_13,00/00/2013,00/00/2013,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,39622,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_14,00/00/2014,00/00/2014,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,1,37828,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Pelsaert Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_15,00/00/2006,00/00/2006,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,,22879,Proxy: nests,Continuous,Nests in use at time of estimate (Pelsaert Island)
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_16,00/00/2007,00/00/2007,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,,16503,Proxy: nests,Continuous,Nests in use at time of estimate (Pelsaert Island)
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_17,00/00/2008,00/00/2008,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,,29061,Proxy: nests,Continuous,Nests in use at time of estimate (Pelsaert Island)
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_18,00/00/2013,00/00/2013,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,,27572,Proxy: nests,Continuous,Nests in use at time of estimate (Pelsaert Island)
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Pelsaert Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_19,00/00/2014,00/00/2014,,,,,,"Pelsaert Island, Houtman Abrolhos island chain",Unknown,-28.929142,113.978029,EPSG:4326,7000,10 fixed transects and quadrats maintained since 1986. Total area surveyed: 1780 square meters.,123,u123,Anous tenuirostris melanops,,18753,Proxy: nests,Continuous,Nests in use at time of estimate (Pelsaert Island)
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_20,00/00/1989,00/00/1989,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,1,10246,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Wooded Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_21,00/00/1991,00/00/1991,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,1,4952,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Wooded Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_22,00/00/1993,00/00/1993,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,1,5249,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Wooded Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_23,00/00/1995,00/00/1995,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,1,8929,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Wooded Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_24,00/00/1996,00/00/1996,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,1,6429,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Wooded Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_25,00/00/1997,00/00/1997,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,1,5105,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Wooded Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_26,00/00/1999,00/00/1999,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,1,13493,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Wooded Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_27,00/00/2000,00/00/2000,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,1,6582,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Wooded Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_28,00/00/2006,00/00/2006,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,1,11294,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Wooded Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_29,00/00/2007,00/00/2007,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,1,5117,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Wooded Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_30,00/00/2008,00/00/2008,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,1,10708,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Wooded Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_31,00/00/2013,00/00/2013,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,1,3800,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Wooded Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_32,00/00/2014,00/00/2014,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,1,3652,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Wooded Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_33,00/00/2006,00/00/2006,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,,3163,Proxy: nests,Continuous,Nests in use at time of estimate (Wooded Island)
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_34,00/00/2007,00/00/2007,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,,1255,Proxy: nests,Continuous,Nests in use at time of estimate (Wooded Island)
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_35,00/00/2008,00/00/2008,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,,6107,Proxy: nests,Continuous,Nests in use at time of estimate (Wooded Island)
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_36,00/00/2013,00/00/2013,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,,3022,Proxy: nests,Continuous,Nests in use at time of estimate (Wooded Island)
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Wooded Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_37,00/00/2014,00/00/2014,,,,,,"Wooded Island, Houtman Abrolhos island chain",Unknown,-28.751052,113.806385,EPSG:4326,1000,5 fixed transects and quadrats maintained since 1989. Total area surveyed: 580 square meters.,123,u123,Anous tenuirostris melanops,,1113,Proxy: nests,Continuous,Nests in use at time of estimate (Wooded Island)
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Morley Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_38,00/00/1989,00/00/1989,,,,,,"Morley Island, Houtman Abrolhos island chain",Unknown,-28.746545,113.812967,EPSG:4326,500,3 fixed transects and quadrats maintained since 1989. Total area surveyed: 620 square meters.,123,u123,Anous tenuirostris melanops,1,17320,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Morley Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Morley Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_39,00/00/1991,00/00/1991,,,,,,"Morley Island, Houtman Abrolhos island chain",Unknown,-28.746545,113.812967,EPSG:4326,500,3 fixed transects and quadrats maintained since 1989. Total area surveyed: 620 square meters.,123,u123,Anous tenuirostris melanops,1,12471,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Morley Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Morley Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_40,00/00/1993,00/00/1993,,,,,,"Morley Island, Houtman Abrolhos island chain",Unknown,-28.746545,113.812967,EPSG:4326,500,3 fixed transects and quadrats maintained since 1989. Total area surveyed: 620 square meters.,123,u123,Anous tenuirostris melanops,1,8375,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Morley Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Morley Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_41,00/00/1995,00/00/1995,,,,,,"Morley Island, Houtman Abrolhos island chain",Unknown,-28.746545,113.812967,EPSG:4326,500,3 fixed transects and quadrats maintained since 1989. Total area surveyed: 620 square meters.,123,u123,Anous tenuirostris melanops,1,10493,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Morley Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Morley Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_42,00/00/1996,00/00/1996,,,,,,"Morley Island, Houtman Abrolhos island chain",Unknown,-28.746545,113.812967,EPSG:4326,500,3 fixed transects and quadrats maintained since 1989. Total area surveyed: 620 square meters.,123,u123,Anous tenuirostris melanops,1,9733,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Morley Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Morley Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_43,00/00/1997,00/00/1997,,,,,,"Morley Island, Houtman Abrolhos island chain",Unknown,-28.746545,113.812967,EPSG:4326,500,3 fixed transects and quadrats maintained since 1989. Total area surveyed: 620 square meters.,123,u123,Anous tenuirostris melanops,1,12154,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Morley Island
paper/report,Houtman Abrolhos Lesser Noddy,,None (data are raw data),"Morley Island, Houtman Abrolhos island chain",Fixed route search,HoutmanAbrolhosLesserNoddy_Surman_et_al_2016_44,00/00/1999,00/00/1999,,,,,,"Morley Island, Houtman Abrolhos island chain",Unknown,-28.746545,113.812967,EPSG:4326,500,3 fixed transects and quadrats maintained since 1989. Total area surveyed: 620 square meters.,123,u123,Anous tenuirostris melanops,1,14124,Proxy: breeding pairs,Continuous,Estimated number of breeding pairs of Lesser Noddies on Morley Island
